Gene,Num
Igf1,38
Tgfb1,23
Mapk14,13
Cdh1,13
Spp1,12
Fn1,11
Tf,8
S100a4,8
Cd44,8
Igfbp3,6
Hsp90aa1,6
Ckb,6
Agt,6
Tfpi,5
Pip,5
G6pdx,5
Tnc,4
Ran,4
Pf4,4
P4hb,4
Mpo,4
Cxcl12,4
C3,4
Adipoq,4
Rhoa,3
Prkca,3
Krt14,3
Igfbp5,3
Fasn,3
Crp,3
Clu,3
Calm1,3
C5,3
Bid,3
Sod3,2
Serpinf1,2
Rac1,2
Lpl,2
Igfbp4,2
Hspa5,2
Hpse,2
Hp,2
Gsn,2
Flt4,2
F2,2
Ces1c,2
Cdc42,2
Cd59,2
C6,2
Alb,2
Actb,2
A1i3,2
Ywhab,1
Vcl,1
Vcam1,1
Txn,1
Ttr,1
Timp3,1
Thbs1,1
Sort1,1
Qsox1,1
Ptpn1,1
Psmb4,1
Pla2g4a,1
Pkm,1
Nrp2,1
Myh9,1
Mug1,1
Lyve1,1
Lbp,1
LOC299282,1
Krt5,1
Krt17,1
Itih4,1
Ihh,1
Igfbp6,1
Hrg,1
Heph,1
Hamp,1
Glycam1,1
Gapdh,1
Fetub,1
Fbln1,1
Ecm1,1
Dstn,1
Cttn,1
Csk,1
Cp,1
Chga,1
Cfl1,1
Cavin2,1
Camp,1
C9,1
Azgp1,1
Apoe,1
Apod,1
Angpt1,1
A1m,1
